config01:Button00:Measurement Value,Reference Value,Threshold,R_THr,Touch ON/OFF Difference,Hysteresis,Status,MEDIAN_9,Average_4,IIR_8,,IIR_16
45931,45937,800,46737,-6,10,0,,,0,8,
45954,45937,800,46737,17,10,0,,,5744,16,2872
45878,45937,800,46737,-59,10,0,,,10760,,8252
45820,45937,800,46737,-117,10,0,,45895,15142,,12951
45890,45937,800,46737,-47,10,0,,45885,18985,,17063
45805,45937,800,46737,-132,10,0,,45848,22337,,20661
45867,45937,800,46737,-70,10,0,,45845,25278,,23807
45865,45937,800,46737,-72,10,0,,45856,27851,,26564
45914,45937,800,46737,-23,10,0,45878,45862,30108,,28979
45813,45937,800,46737,-124,10,0,45867,45864,32071,,31089
45812,45937,800,46737,-125,10,0,45865,45851,33788,,32929
45854,45937,800,46737,-83,10,0,45854,45848,35296,,34542
45840,45937,800,46737,-97,10,0,45854,45829,36614,,35955
45838,45937,800,46737,-99,10,0,45840,45836,37767,,37190
45901,45937,800,46737,-36,10,0,45854,45858,38783,,38275
45862,45937,800,46737,-75,10,0,45854,45860,39667,,39225
45848,45937,800,46737,-89,10,0,45848,45862,40439,,40053
45865,45937,800,46737,-72,10,0,45848,45869,41117,,40778
45821,45937,800,46737,-116,10,0,45848,45849,41705,,41411
45833,45937,800,46737,-104,10,0,45848,45841,42221,,41963
45849,45937,800,46737,-88,10,0,45848,45842,42674,,42447
45876,45937,800,46737,-61,10,0,45849,45844,43074,,42874
45823,45937,800,46737,-114,10,0,45849,45845,43417,,43245
45832,45937,800,46737,-105,10,0,45848,45845,43718,,43567
45869,45937,800,46737,-68,10,0,45848,45850,43986,,43852
45866,45937,800,46737,-71,10,0,45849,45847,44221,,44103
45876,45937,800,46737,-61,10,0,45849,45860,44427,,44324
45905,45937,800,46737,-32,10,0,45866,45879,44611,,44519
45887,45937,800,46737,-50,10,0,45869,45883,44770,,44690
45872,45937,800,46737,-65,10,0,45872,45885,44907,,44838
45899,45937,800,46737,-38,10,0,45872,45890,45031,,44969
45872,45937,800,46737,-65,10,0,45872,45882,45136,,45083
45920,45937,800,46737,-17,10,0,45876,45890,45234,,45185
45932,45937,800,46737,-5,10,0,45887,45905,45321,,45277
45971,45937,800,46737,34,10,0,45899,45923,45402,,45361
45887,45937,800,46737,-50,10,0,45899,45927,45462,,45432
45916,45937,800,46737,-21,10,0,45899,45926,45518,,45490
45933,45937,800,46737,-4,10,0,45916,45926,45569,,45543
45825,45937,800,46737,-112,10,0,45916,45890,45601,,45585
45833,45937,800,46737,-104,10,0,45916,45876,45630,,45615
45873,45937,800,46737,-64,10,0,45916,45866,45660,,45645
45912,45937,800,46737,-25,10,0,45912,45860,45691,,45675
45889,45937,800,46737,-48,10,0,45889,45876,45715,,45703
45907,45937,800,46737,-30,10,0,45889,45895,45739,,45727
45891,45937,800,46737,-46,10,0,45891,45899,45758,,45748
45920,45937,800,46737,-17,10,0,45891,45901,45778,,45768
45919,45937,800,46737,-18,10,0,45891,45909,45795,,45786
45958,45937,800,46737,21,10,0,45907,45922,45815,,45805
45823,45937,800,46737,-114,10,0,45907,45905,45816,,45815
