2024-04-16T17:44:37
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
46195,46188,800,7,10,0,-,-,-,-,-,-,-,-
46190,46188,800,2,10,0,-,-,-,-,-,-,-,-
46175,46188,800,-13,10,0,-,-,-,-,-,-,-,-
46179,46188,800,-9,10,0,-,-,-,-,-,-,-,-
46162,46188,800,-26,10,0,-,-,-,-,-,-,-,-
46152,46188,800,-36,10,0,-,-,-,-,-,-,-,-
46145,46188,800,-43,10,0,-,-,-,-,-,-,-,-
46185,46188,800,-3,10,0,-,-,-,-,-,-,-,-
46185,46188,800,-3,10,0,-,-,-,-,-,-,-,-
46179,46188,800,-9,10,0,-,-,-,-,-,-,-,-
46142,46188,800,-46,10,0,-,-,-,-,-,-,-,-
46082,46188,800,-106,10,0,-,-,-,-,-,-,-,-
46096,46188,800,-92,10,0,-,-,-,-,-,-,-,-
46125,46188,800,-63,10,0,-,-,-,-,-,-,-,-
46100,46188,800,-88,10,0,-,-,-,-,-,-,-,-
46096,46188,800,-92,10,0,-,-,-,-,-,-,-,-
46071,46188,800,-117,10,0,-,-,-,-,-,-,-,-
46085,46188,800,-103,10,0,-,-,-,-,-,-,-,-
46101,46188,800,-87,10,0,-,-,-,-,-,-,-,-
46093,46188,800,-95,10,0,-,-,-,-,-,-,-,-
46015,46188,800,-173,10,0,-,-,-,-,-,-,-,-
46064,46188,800,-124,10,0,-,-,-,-,-,-,-,-
46077,46188,800,-111,10,0,-,-,-,-,-,-,-,-
46051,46188,800,-137,10,0,-,-,-,-,-,-,-,-
46054,46188,800,-134,10,0,-,-,-,-,-,-,-,-
46099,46188,800,-89,10,0,-,-,-,-,-,-,-,-
46124,46188,800,-64,10,0,-,-,-,-,-,-,-,-
46156,46188,800,-32,10,0,-,-,-,-,-,-,-,-
46139,46188,800,-49,10,0,-,-,-,-,-,-,-,-
46176,46188,800,-12,10,0,-,-,-,-,-,-,-,-
46181,46188,800,-7,10,0,-,-,-,-,-,-,-,-
46166,46188,800,-22,10,0,-,-,-,-,-,-,-,-
46193,46188,800,5,10,0,-,-,-,-,-,-,-,-
46361,46188,800,173,10,0,-,-,-,-,-,-,-,-
46292,46188,800,104,10,0,-,-,-,-,-,-,-,-
46240,46188,800,52,10,0,-,-,-,-,-,-,-,-
46218,46188,800,30,10,0,-,-,-,-,-,-,-,-
46171,46188,800,-17,10,0,-,-,-,-,-,-,-,-
46146,46188,800,-42,10,0,-,-,-,-,-,-,-,-
46159,46188,800,-29,10,0,-,-,-,-,-,-,-,-
46186,46188,800,-2,10,0,-,-,-,-,-,-,-,-
46217,46188,800,29,10,0,-,-,-,-,-,-,-,-
46197,46188,800,9,10,0,-,-,-,-,-,-,-,-
46185,46188,800,-3,10,0,-,-,-,-,-,-,-,-
46168,46188,800,-20,10,0,-,-,-,-,-,-,-,-
46149,46188,800,-39,10,0,-,-,-,-,-,-,-,-
46082,46188,800,-106,10,0,-,-,-,-,-,-,-,-
46101,46188,800,-87,10,0,-,-,-,-,-,-,-,-
46105,46188,800,-83,10,0,-,-,-,-,-,-,-,-
46114,46188,800,-74,10,0,-,-,-,-,-,-,-,-
46139,46188,800,-49,10,0,-,-,-,-,-,-,-,-
46152,46188,800,-36,10,0,-,-,-,-,-,-,-,-
46198,46188,800,10,10,0,-,-,-,-,-,-,-,-
46202,46188,800,14,10,0,-,-,-,-,-,-,-,-
46206,46188,800,18,10,0,-,-,-,-,-,-,-,-
46198,46188,800,10,10,0,-,-,-,-,-,-,-,-
46170,46188,800,-18,10,0,-,-,-,-,-,-,-,-
46145,46188,800,-43,10,0,-,-,-,-,-,-,-,-
46151,46188,800,-37,10,0,-,-,-,-,-,-,-,-
46234,46188,800,46,10,0,-,-,-,-,-,-,-,-
46238,46188,800,50,10,0,-,-,-,-,-,-,-,-
46216,46188,800,28,10,0,-,-,-,-,-,-,-,-
46185,46188,800,-3,10,0,-,-,-,-,-,-,-,-
46162,46188,800,-26,10,0,-,-,-,-,-,-,-,-
46179,46188,800,-9,10,0,-,-,-,-,-,-,-,-
